"","StandOrder","RunOrder","Replicate","A","B","C","D","E","y"
"1",35,1,3,1,3,3,3,3,NA
"2",19,2,2,1,3,3,3,3,NA
"3",43,3,3,3,3,1,2,4,NA
"4",62,4,4,4,2,3,1,4,NA
"5",74,5,5,3,2,4,3,1,NA
"6",69,6,5,2,1,2,3,4,NA
"7",9,7,1,3,1,3,4,2,NA
"8",16,8,1,4,4,1,3,2,NA
"9",8,9,1,2,4,3,2,1,NA
"10",3,10,1,1,3,3,3,3,NA
"11",41,11,3,3,1,3,4,2,NA
"12",72,12,5,2,4,3,2,1,NA
"13",61,13,4,4,1,4,2,3,NA
"14",29,14,2,4,1,4,2,3,NA
"15",11,15,1,3,3,1,2,4,NA
"16",24,16,2,2,4,3,2,1,NA
"17",60,17,4,3,4,2,1,3,NA
"18",18,18,2,1,2,2,2,2,NA
"19",12,19,1,3,4,2,1,3,NA
"20",58,20,4,3,2,4,3,1,NA
"21",2,21,1,1,2,2,2,2,NA
"22",13,22,1,4,1,4,2,3,NA
"23",51,23,4,1,3,3,3,3,NA
"24",34,24,3,1,2,2,2,2,NA
"25",78,25,5,4,2,3,1,4,NA
"26",37,26,3,2,1,2,3,4,NA
"27",63,27,4,4,3,2,4,1,NA
"28",30,28,2,4,2,3,1,4,NA
"29",57,29,4,3,1,3,4,2,NA
"30",48,30,3,4,4,1,3,2,NA
"31",79,31,5,4,3,2,4,1,NA
"32",40,32,3,2,4,3,2,1,NA
"33",73,33,5,3,1,3,4,2,NA
"34",71,34,5,2,3,4,1,2,NA
"35",25,35,2,3,1,3,4,2,NA
"36",76,36,5,3,4,2,1,3,NA
"37",1,37,1,1,1,1,1,1,NA
"38",77,38,5,4,1,4,2,3,NA
"39",49,39,4,1,1,1,1,1,NA
"40",36,40,3,1,4,4,4,4,NA
"41",27,41,2,3,3,1,2,4,NA
"42",53,42,4,2,1,2,3,4,NA
"43",54,43,4,2,2,1,4,3,NA
"44",14,44,1,4,2,3,1,4,NA
"45",39,45,3,2,3,4,1,2,NA
"46",44,46,3,3,4,2,1,3,NA
"47",70,47,5,2,2,1,4,3,NA
"48",20,48,2,1,4,4,4,4,NA
"49",67,49,5,1,3,3,3,3,NA
"50",33,50,3,1,1,1,1,1,NA
"51",59,51,4,3,3,1,2,4,NA
"52",45,52,3,4,1,4,2,3,NA
"53",17,53,2,1,1,1,1,1,NA
"54",22,54,2,2,2,1,4,3,NA
"55",23,55,2,2,3,4,1,2,NA
"56",5,56,1,2,1,2,3,4,NA
"57",21,57,2,2,1,2,3,4,NA
"58",10,58,1,3,2,4,3,1,NA
"59",47,59,3,4,3,2,4,1,NA
"60",52,60,4,1,4,4,4,4,NA
"61",26,61,2,3,2,4,3,1,NA
"62",50,62,4,1,2,2,2,2,NA
"63",68,63,5,1,4,4,4,4,NA
"64",28,64,2,3,4,2,1,3,NA
"65",4,65,1,1,4,4,4,4,NA
"66",42,66,3,3,2,4,3,1,NA
"67",31,67,2,4,3,2,4,1,NA
"68",66,68,5,1,2,2,2,2,NA
"69",65,69,5,1,1,1,1,1,NA
"70",75,70,5,3,3,1,2,4,NA
"71",32,71,2,4,4,1,3,2,NA
"72",46,72,3,4,2,3,1,4,NA
"73",56,73,4,2,4,3,2,1,NA
"74",38,74,3,2,2,1,4,3,NA
"75",55,75,4,2,3,4,1,2,NA
"76",6,76,1,2,2,1,4,3,NA
"77",7,77,1,2,3,4,1,2,NA
"78",64,78,4,4,4,1,3,2,NA
"79",80,79,5,4,4,1,3,2,NA
"80",15,80,1,4,3,2,4,1,NA
