Function,MEPO Mean,EPOW Mean,EPO Classical Mean,PSO Mean,MEPO Std,EPOW Std,EPO Classical Std,PSO Std
ACKLEY,1.734,6.388,6.778,0.000,0.610,2.171,1.737,1.037
BUKIN,0.635,0.950,1.524,0.000,0.421,0.373,0.691,3.630
CROSS_IN_TRAY,-2.063,-2.063,-2.063,0.254,0.000,0.000,0.000,1.261
DROP_WAVE,-0.994,-1.000,-0.994,0.000,0.019,0.000,0.019,0.000
EGGHOLDER,-951.380,-21888.976,-940.974,155.582,8.624,16456.117,10.414,392.336
GRIEWANK,1.412,0.966,31.942,-1.670,0.271,0.079,11.895,20.059
HOLDER_TABLE,-19.208,-59.186,-19.192,-0.105,0.000,18.056,0.020,8.756
Langermann,-4.136,-4.153,-4.136,2.153,0.025,0.008,0.025,0.501
Levy,0.017,0.317,1.342,0.569,0.012,0.095,2.209,1.038
Rastrigin,3.847,24.897,17.377,-0.032,1.208,8.026,15.308,0.951
schaffer2,0.001,0.001,0.005,0.000,0.002,0.002,0.004,0.000
schaffer4,0.294,0.293,0.296,-0.137,0.002,0.001,0.003,0.870
Schwefel,148.832,1877.050,1935.580,53.510,49.683,233.025,117.574,270.694
Shubert,-186.718,-186.718,-186.390,-1.106,0.032,0.013,0.210,3.793
Bohachevsky,0.000,0.000,0.395,0.000,0.026,0.001,0.162,0.000
Perm,14.797,134.406,2681.444,0.174,11.734,57.456,5236.326,0.410
Rotated_Hyper_Ellipsoid,9.411,0.000,1227.240,-0.147,3.695,0.000,669.050,3.361
spheref,0.000,0.000,0.023,0.001,0.000,0.000,0.022,0.095
sumpow,0.000,0.000,0.000,-0.004,0.000,0.000,0.000,0.165
sumsqu,0.000,0.000,1.269,-0.024,0.006,0.000,1.205,0.874
booth,0.000,0.002,0.002,2.000,0.000,0.002,0.001,1.000
matya,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
mccorm,-1.910,-367.315,-1.910,-0.808,0.000,193.443,0.000,0.446
zakharov,1.239,0.000,9.674,0.409,1.059,0.000,7.948,1.892
camel3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
camel6,-1.032,-1.032,-1.032,-0.062,0.000,0.000,0.000,0.504
dixonpr,0.548,0.642,10.091,0.110,0.091,0.048,13.006,0.624
rosen,10.943,8.869,30.486,1.093,14.343,0.123,15.952,0.837
dejong5,0.998,1.042,1.007,-21.448,0.000,0.079,0.011,14.553
easom,-0.999,-0.893,-0.737,3.142,0.001,0.098,0.208,0.000
michal,-8.459,-6.743,-5.866,1.591,0.150,0.539,0.589,0.487
